layer,head,metric,clip_reward,clip_reward_pct,mdice,mask_coverage_mean,salience_max_mean,score,elapsed_s,status,total_possible_reward
0,0,dice,,,,,,,0.03,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,1,dice,,,,,,,0.03,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,2,dice,,,,,,,0.03,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,3,dice,,,,,,,0.03,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,4,dice,,,,,,,0.03,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,5,dice,,,,,,,0.03,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,6,dice,,,,,,,0.03,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,7,dice,,,,,,,0.03,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,8,dice,,,,,,,0.03,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,9,dice,,,,,,,0.03,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,10,dice,,,,,,,0.03,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,11,dice,,,,,,,0.03,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,12,dice,,,,,,,0.03,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,13,dice,,,,,,,0.03,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,14,dice,,,,,,,0.03,fwd_error:Input image size (288*288) doesn't match model (294*294).,
0,15,dice,,,,,,,0.03,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,0,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,1,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,2,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,3,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,4,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,5,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,6,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,7,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,8,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,9,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,10,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,11,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,12,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,13,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,14,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
1,15,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,0,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,1,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,2,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,3,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,4,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,5,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,6,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,7,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,8,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,9,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,10,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,11,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,12,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,13,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,14,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
2,15,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,0,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,1,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,2,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,3,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,4,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,5,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,6,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,7,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,8,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,9,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,10,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,11,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,12,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,13,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,14,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
3,15,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,0,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,1,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,2,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,3,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,4,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,5,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,6,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,7,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,8,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,9,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,10,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,11,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,12,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,13,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,14,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
4,15,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
5,0,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
5,1,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
5,2,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
5,3,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
5,4,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
5,5,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
5,6,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
5,7,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
5,8,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
5,9,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
5,10,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
5,11,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
5,12,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
5,13,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
5,14,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
5,15,dice,,,,,,,0.0,fwd_error:Input image size (288*288) doesn't match model (294*294).,
6,0,dice,,,,,,,0.0,fwd_error:index 6 is out of range,
6,1,dice,,,,,,,0.0,fwd_error:index 6 is out of range,
6,2,dice,,,,,,,0.0,fwd_error:index 6 is out of range,
6,3,dice,,,,,,,0.0,fwd_error:index 6 is out of range,
6,4,dice,,,,,,,0.0,fwd_error:index 6 is out of range,
6,5,dice,,,,,,,0.0,fwd_error:index 6 is out of range,
6,6,dice,,,,,,,0.0,fwd_error:index 6 is out of range,
6,7,dice,,,,,,,0.0,fwd_error:index 6 is out of range,
6,8,dice,,,,,,,0.0,fwd_error:index 6 is out of range,
6,9,dice,,,,,,,0.0,fwd_error:index 6 is out of range,
6,10,dice,,,,,,,0.0,fwd_error:index 6 is out of range,
6,11,dice,,,,,,,0.0,fwd_error:index 6 is out of range,
6,12,dice,,,,,,,0.0,fwd_error:index 6 is out of range,
6,13,dice,,,,,,,0.0,fwd_error:index 6 is out of range,
6,14,dice,,,,,,,0.0,fwd_error:index 6 is out of range,
6,15,dice,,,,,,,0.0,fwd_error:index 6 is out of range,
7,0,dice,,,,,,,0.0,fwd_error:index 7 is out of range,
7,1,dice,,,,,,,0.0,fwd_error:index 7 is out of range,
7,2,dice,,,,,,,0.0,fwd_error:index 7 is out of range,
7,3,dice,,,,,,,0.0,fwd_error:index 7 is out of range,
7,4,dice,,,,,,,0.0,fwd_error:index 7 is out of range,
7,5,dice,,,,,,,0.0,fwd_error:index 7 is out of range,
7,6,dice,,,,,,,0.0,fwd_error:index 7 is out of range,
7,7,dice,,,,,,,0.0,fwd_error:index 7 is out of range,
7,8,dice,,,,,,,0.0,fwd_error:index 7 is out of range,
7,9,dice,,,,,,,0.0,fwd_error:index 7 is out of range,
7,10,dice,,,,,,,0.0,fwd_error:index 7 is out of range,
7,11,dice,,,,,,,0.0,fwd_error:index 7 is out of range,
7,12,dice,,,,,,,0.0,fwd_error:index 7 is out of range,
7,13,dice,,,,,,,0.0,fwd_error:index 7 is out of range,
7,14,dice,,,,,,,0.0,fwd_error:index 7 is out of range,
7,15,dice,,,,,,,0.0,fwd_error:index 7 is out of range,
8,0,dice,,,,,,,0.0,fwd_error:index 8 is out of range,
8,1,dice,,,,,,,0.0,fwd_error:index 8 is out of range,
8,2,dice,,,,,,,0.0,fwd_error:index 8 is out of range,
8,3,dice,,,,,,,0.0,fwd_error:index 8 is out of range,
8,4,dice,,,,,,,0.0,fwd_error:index 8 is out of range,
8,5,dice,,,,,,,0.0,fwd_error:index 8 is out of range,
8,6,dice,,,,,,,0.0,fwd_error:index 8 is out of range,
8,7,dice,,,,,,,0.0,fwd_error:index 8 is out of range,
8,8,dice,,,,,,,0.0,fwd_error:index 8 is out of range,
8,9,dice,,,,,,,0.0,fwd_error:index 8 is out of range,
8,10,dice,,,,,,,0.0,fwd_error:index 8 is out of range,
8,11,dice,,,,,,,0.0,fwd_error:index 8 is out of range,
8,12,dice,,,,,,,0.0,fwd_error:index 8 is out of range,
8,13,dice,,,,,,,0.0,fwd_error:index 8 is out of range,
8,14,dice,,,,,,,0.0,fwd_error:index 8 is out of range,
8,15,dice,,,,,,,0.0,fwd_error:index 8 is out of range,
9,0,dice,,,,,,,0.0,fwd_error:index 9 is out of range,
9,1,dice,,,,,,,0.0,fwd_error:index 9 is out of range,
9,2,dice,,,,,,,0.0,fwd_error:index 9 is out of range,
9,3,dice,,,,,,,0.0,fwd_error:index 9 is out of range,
9,4,dice,,,,,,,0.0,fwd_error:index 9 is out of range,
9,5,dice,,,,,,,0.0,fwd_error:index 9 is out of range,
9,6,dice,,,,,,,0.0,fwd_error:index 9 is out of range,
9,7,dice,,,,,,,0.0,fwd_error:index 9 is out of range,
9,8,dice,,,,,,,0.0,fwd_error:index 9 is out of range,
9,9,dice,,,,,,,0.0,fwd_error:index 9 is out of range,
9,10,dice,,,,,,,0.0,fwd_error:index 9 is out of range,
9,11,dice,,,,,,,0.0,fwd_error:index 9 is out of range,
